document_uid,mentions
DOC_9f75e14ca9bab688fe28,0.0
DOC_4a60ea6d7db844e2ebac,5.0
DOC_1288e5c8d7ddff3c46f9,4.0
DOC_e2813d7981b7950a11ad,4.0
DOC_8f7219281c6e616dc2aa,3.0
DOC_5759bf1af24507478d5a,2.0
DOC_07e8adc22e03ba8180b8,9.0
DOC_b3acb73e6f04868f8d24,4.0
DOC_6338d9f2e25ed3ae00db,4.0
DOC_d28ab542ce016e94a30d,0.0
DOC_3e803c094cf2b35ff315,3.0
DOC_35fb741bd9ee79d53b29,2.0
DOC_8e2803d9677f3e89f183,3.0
DOC_38904cb8d027650e95ed,4.0
DOC_db2c7379e11c5ddc85b5,5.0
DOC_b3d2546c670c6209ca26,5.0
DOC_d69e8ed3d8349ceed513,0.0
DOC_72486298acb4e20d9362,5.0
DOC_bd9936930ff279a00b1d,1.0
DOC_38d6d09dfb3c633ecac5,7.0
DOC_6c26f020aaca5bbb3419,5.0
DOC_9172a192663718e88ccf,7.0
DOC_98095748829992e6faa6,12.0
DOC_deb446427b81545b58f9,8.0
DOC_8a03842f72912867bafb,6.0
DOC_5271cdef685811b8115f,5.0
DOC_a3e16dab120b745e0052,10.0
DOC_ef81ba8c0334572b61bb,5.0
DOC_18e468249ebd9876eb63,0.0
DOC_6bcc6e7a8ab8a75152d1,0.0
DOC_bc0794500017fc112fc1,5.0
DOC_e9aca9d7c4c5fdb774a0,4.0
DOC_9071185b3287d4b26480,4.0
DOC_914513ff4ba2019c2a41,4.0
DOC_045f755933fee932bce7,10.0
DOC_568fb2c354138a829d45,4.0
DOC_9fc1cda35f83dd3ac4f2,4.0
DOC_4faef95bb0562fa5f716,0.0
DOC_12089f849acbebcf8292,6.0
DOC_1d8e03a1f3927c2c1d2b,4.0
DOC_5f71603ce545444faf59,4.0
DOC_91729cbb094b49ec283f,3.0
DOC_74e1eda8c4dc92c05b1d,3.0
DOC_867080797e3816cf4e69,4.0
DOC_27bbadaf44e8c14ea102,7.0
DOC_c99a8d38b1b95aba97d9,5.0
DOC_d9451ca6fa1979881bdf,4.0
DOC_a450f5eae00c4aa968db,1.0
DOC_4d9c060f2dcf59f1b4df,0.0
DOC_b4e6346dc904f7985ccc,3.0
DOC_c6727f8f401a06f71943,2.0
DOC_54312c0221c2cf633011,2.0
DOC_40cf405ec2b11699c9cd,3.0
DOC_d819ab15f45b334cc5a9,5.0
DOC_b2399987244768fe5dec,5.0
DOC_ff9a7edabc027ba88025,1.0
DOC_4ec959af7961b0e6ac9f,3.0
DOC_23bbd08e0620efc65d25,2.0
DOC_43d6a951ba3d06eaa296,6.0
DOC_6c0b95b5c879c28575fe,2.0
DOC_4741f80c9adde868f7f0,1.0
DOC_4bbe3f64697a1f74ca6d,2.0
DOC_b29d389350c2f56439ee,5.0
DOC_c688a2c90acee5e0a623,5.0
DOC_06a599a954c6fdfddab1,4.0
DOC_6224b28293a1032586da,1.0
DOC_8bb46d45146969cb0647,5.0
DOC_4a3600478e6a9f1380d8,5.0
DOC_caeb25d7cce511d64a47,2.0
DOC_e93584eefebaf5370b0c,4.0
DOC_0a1c551c6c4f720b94d0,2.0
DOC_98cc0a45ad1d6a0e9c2a,3.0
DOC_f09ffc6b08762b862e22,3.0
DOC_b5035a7ef78e8ce6ace8,3.0
DOC_bb8f5b1131aaefbbe43e,5.0
DOC_48d71b157b10dff19ee5,4.0
DOC_7f489adcad39a1ad4f98,4.0
DOC_2a834f058986623c2424,7.0
DOC_bca0a5b6464ae1102170,5.0
DOC_98764ce4319af368492a,5.0
DOC_9d5ab55e05a91199b8ad,6.0
DOC_0c82ccca5226181fcf5b,5.0
DOC_b7f74836ed48ba7fd7cb,3.0
DOC_c505b3dcd7183e74cb1f,5.0
DOC_bbc13ffa5c9dce43c34f,0.0
DOC_4e36803b12a4c7eb9f4d,7.0
DOC_1bf35b30d8a06a0ef81c,3.0
DOC_8beecc2421a8ae8547c1,3.0
DOC_748bcf9ed6c481fe5416,7.0
DOC_f993a49ccebbe78f13b7,4.0
DOC_8c8b180aa3e06518c378,5.0
DOC_562fae3a7e15255b98b3,6.0
DOC_cf51c7d0476ad39b7714,4.0
DOC_81e5c31792ff5bec6e0d,4.0
DOC_32ed62952d9bc590a68c,3.0
DOC_9fc025b7c7f843b34fc0,3.0
DOC_0dfa13ddb861acc5dc31,4.0
DOC_6419f488cebac17f11b6,3.0
DOC_d61f20322dc45d39cff8,3.0
DOC_e9f1e31178a9666283d1,7.0
DOC_06308ce67480c5d3d28a,2.0
DOC_3152f616a830ed5a01cf,4.0
DOC_47f87c496df79da63582,3.0
DOC_c3848a93c6b3b14ed160,7.0
DOC_bec5c184d437144bb498,5.0
DOC_4c6a726b12f4868a8b54,5.0
DOC_d922fb02630770948e93,5.0
DOC_80d5fc30165e44761987,5.0
DOC_b461166ab57bf00394a0,6.0
DOC_7c17decfa010f2c657a7,8.0
DOC_60a8eb69dde22a1e4704,1.0
DOC_367304d226755bd32aa2,2.0
DOC_00f1a73d2b123e859c68,7.0
DOC_ba9bf7066a0a415ef0f6,5.0
DOC_45c5d304adc91b977a66,6.0
DOC_da9b0553ecfb06152b64,2.0
DOC_ae06018f32fa6c8dc7b9,1.0
DOC_e9d760ba04168f551b79,5.0
DOC_b69ec985bf3141286b11,1.0
DOC_0fdeefbf2d5019c355df,3.0
DOC_9e422c66c9b06df1c288,4.0
DOC_6d3a3961ce7093668d2e,6.0
DOC_1b805d7c77e652a79fea,6.0
DOC_b78c6ac91aa28d56b1a3,6.0
